detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,2,0,-2
Bishnupur,82,57,0,25
Chandel,38,4,0,34
Churachandpur,149,55,0,94
Imphal East,48,15,0,33
Imphal West,120,52,0,68
Jiribam,59,2,0,57
Kakching,106,25,0,81
Kamjong,123,17,0,106
Kangpokpi,160,18,0,142
Noney,25,17,0,8
Pherzawl,32,3,0,29
Senapati,167,10,0,157
Tamenglong,191,25,0,166
Tengnoupal,14,13,0,1
Thoubal,67,23,0,44
Ukhrul,200,17,0,183
