detecteddistrict,Confirmed,Recovered,Deceased,Active
,0,119,0,-119
Dimapur,141,29,0,112
Kiphire,4,0,0,4
Kohima,74,14,0,60
Longleng,2,0,0,2
Mokokchung,3,0,0,3
Mon,98,0,0,98
Others,46,0,0,46
Peren,292,16,0,276
Phek,14,1,0,13
Tuensang,41,0,0,41
Wokha,11,0,0,11
Zunheboto,6,0,0,6
