dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-25,62,62,0,0,0,0
2020-05-26,49,111,0,0,0,0
2020-06-01,1,112,0,0,0,0
2020-06-03,7,119,1,1,0,0
2020-06-04,0,119,3,4,0,0
2020-06-05,4,123,0,4,0,0
2020-06-06,8,131,0,4,0,0
2020-06-07,0,131,1,5,0,0
2020-06-08,1,132,1,6,0,0
2020-06-09,0,132,12,18,0,0
2020-06-10,56,188,0,18,0,0
2020-06-11,9,197,3,21,0,0
2020-06-12,2,199,0,21,0,0
2020-06-13,3,202,1,22,0,0
2020-06-14,2,204,1,23,0,0
2020-06-15,6,210,0,23,0,0
2020-06-16,27,237,0,23,0,0
2020-06-17,26,263,21,44,0,0
2020-06-18,26,289,3,47,0,0
2020-06-19,19,308,0,47,0,0
2020-06-20,18,326,2,49,0,0
2020-06-21,4,330,3,52,0,0
2020-06-22,7,337,0,52,0,0
2020-06-23,15,352,3,55,0,0
2020-06-24,12,364,24,79,0,0
2020-06-25,7,371,1,80,0,0
2020-06-26,1,372,3,83,0,0
2020-06-27,5,377,2,85,0,0
2020-06-28,8,385,7,92,0,0
2020-06-29,6,391,5,97,0,0
2020-06-30,5,396,2,99,0,0
2020-07-01,7,403,2,101,0,0
2020-07-02,4,407,20,121,0,0
2020-07-03,2,409,39,160,0,0
2020-07-04,6,415,25,185,0,0
2020-07-05,1,416,5,190,0,0
2020-07-06,3,419,45,235,0,0
2020-07-07,1,420,25,260,0,0
2020-07-08,2,422,8,268,0,0
2020-07-09,2,424,29,297,0,0
2020-07-10,0,424,1,298,0,0
