dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-22,1,1,0,0,0,0
2020-04-26,4,5,0,0,0,0
2020-05-01,0,5,0,0,1,1
2020-05-03,4,9,0,0,0,1
2020-05-08,1,10,0,0,0,1
2020-05-10,4,14,1,1,0,1
2020-05-13,1,15,0,1,0,1
2020-05-15,0,15,8,9,0,1
2020-05-16,1,16,0,9,0,1
2020-05-17,3,19,0,9,0,1
2020-05-21,11,30,0,9,0,1
2020-05-22,32,62,2,11,0,1
2020-05-24,11,73,0,11,0,1
2020-05-25,0,73,1,12,0,1
2020-05-26,10,83,-1,11,0,1
2020-05-27,0,83,1,12,0,1
2020-05-29,0,83,17,29,0,1
2020-05-30,3,86,0,29,0,1
2020-06-01,9,95,6,35,0,1
2020-06-02,5,100,3,38,0,1
2020-06-03,4,104,11,49,0,1
2020-06-04,1,105,0,49,0,1
2020-06-05,3,108,16,65,0,1
2020-06-06,8,116,0,65,0,1
2020-06-07,3,119,1,66,0,1
2020-06-09,1,120,0,66,0,1
2020-06-10,5,125,6,72,0,1
2020-06-11,0,125,11,83,0,1
2020-06-12,4,129,11,94,0,1
2020-06-13,0,129,2,96,0,1
2020-06-14,3,132,22,118,0,1
2020-06-15,12,144,4,122,0,1
2020-06-16,4,148,0,122,0,1
2020-06-17,1,149,2,124,0,1
2020-06-18,0,149,9,133,0,1
2020-06-19,3,152,1,134,0,1
2020-06-20,4,156,12,146,0,1
2020-06-21,0,156,1,147,0,1
2020-06-23,0,156,3,150,0,1
2020-06-25,7,163,6,156,0,1
2020-06-26,0,163,1,157,0,1
2020-06-27,2,165,0,157,0,1
2020-06-28,1,166,7,164,0,1
2020-06-29,33,199,0,164,0,1
2020-06-30,7,206,0,164,1,2
2020-07-01,3,209,0,164,0,2
2020-07-02,3,212,0,164,0,2
2020-07-03,19,231,37,201,2,4
2020-07-05,3,234,1,202,0,4
2020-07-06,15,249,19,221,1,5
2020-07-07,11,260,4,225,0,5
2020-07-08,8,268,7,232,0,5
2020-07-09,11,279,0,232,0,5
2020-07-10,21,300,0,232,1,6
