dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-23,1,1,0,0,0,0
2020-05-26,2,3,0,0,0,0
2020-05-28,13,16,0,0,0,0
2020-05-31,16,32,0,0,0,0
2020-06-01,9,41,0,0,0,0
2020-06-03,5,46,0,0,0,0
2020-06-04,25,71,0,0,0,0
2020-06-06,4,75,0,0,0,0
2020-06-07,3,78,6,6,0,0
2020-06-08,1,79,2,8,0,0
2020-06-10,1,80,4,12,0,0
2020-06-11,2,82,1,13,0,0
2020-06-12,1,83,15,28,0,0
2020-06-13,0,83,5,33,0,0
2020-06-14,2,85,0,33,0,0
2020-06-15,0,85,3,36,0,0
2020-06-16,0,85,8,44,0,0
2020-06-17,8,93,10,54,0,0
2020-06-18,3,96,0,54,0,0
2020-06-19,6,102,22,76,0,0
2020-06-20,2,104,3,79,0,0
2020-06-21,16,120,0,79,0,0
2020-06-22,2,122,1,80,0,0
2020-06-23,0,122,2,82,0,0
2020-06-25,3,125,0,82,0,0
2020-06-26,39,164,5,87,0,0
2020-06-28,0,164,2,89,0,0
2020-06-29,25,189,1,90,0,0
2020-06-30,0,189,4,94,0,0
2020-07-01,0,189,2,96,0,0
2020-07-02,0,189,2,98,0,0
2020-07-03,0,189,12,110,0,0
2020-07-04,0,189,14,124,0,0
2020-07-05,0,189,2,126,0,0
2020-07-07,0,189,7,133,0,0
2020-07-08,0,189,35,168,0,0
2020-07-09,1,190,0,168,0,0
2020-07-10,0,190,20,188,0,0
