dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-20,2,2,1,1,0,0
2020-03-21,2,4,0,1,0,0
2020-03-22,3,7,0,1,0,0
2020-03-23,5,12,0,1,1,1
2020-03-28,3,15,0,1,0,1
2020-03-29,4,19,1,2,3,4
2020-03-30,1,20,0,2,0,4
2020-03-31,1,21,0,2,0,4
2020-04-01,8,29,0,2,0,4
2020-04-03,7,36,0,2,1,5
2020-04-04,7,43,0,2,1,6
2020-04-05,8,51,1,3,0,6
2020-04-06,11,62,1,4,0,6
2020-04-07,19,81,0,4,0,6
2020-04-09,59,140,1,5,1,7
2020-04-10,55,195,0,5,0,7
2020-04-11,46,241,1,6,3,10
2020-04-12,39,280,0,6,2,12
2020-04-13,38,318,0,6,1,13
2020-04-14,53,371,2,8,0,13
2020-04-15,77,448,4,12,3,16
2020-04-16,95,543,4,16,1,17
2020-04-17,78,621,3,19,4,21
2020-04-18,239,860,3,22,4,25
2020-04-19,239,1099,2,24,7,32
2020-04-20,147,1246,20,44,2,34
2020-04-21,125,1371,3,47,15,49
2020-04-22,128,1499,34,81,9,58
2020-04-23,151,1650,27,108,7,65
2020-04-24,169,1819,0,108,14,79
2020-04-25,182,2001,2,110,3,82
2020-04-26,178,2179,0,110,0,82
2020-04-27,198,2377,72,182,5,87
2020-04-28,164,2541,29,211,19,106
2020-04-29,234,2775,22,233,9,115
2020-04-30,249,3024,53,286,12,127
2020-05-01,267,3291,83,369,16,143
2020-05-02,250,3541,63,432,20,163
2020-05-03,274,3815,71,503,23,186
2020-05-04,259,4074,87,590,26,212
2020-05-05,349,4423,84,674,39,251
2020-05-06,291,4714,74,748,25,276
2020-05-07,275,4989,108,856,23,299
2020-05-08,269,5258,115,971,22,321
2020-05-09,280,5538,106,1077,20,341
2020-05-10,278,5816,266,1343,18,359
2020-05-11,268,6084,109,1452,19,378
2020-05-12,267,6351,392,1844,21,399
2020-05-13,292,6643,238,2082,25,424
2020-05-14,265,6908,135,2217,19,443
2020-05-15,261,7169,135,2352,14,457
2020-05-16,973,8142,163,2515,14,471
2020-05-17,276,8418,115,2630,31,502
2020-05-18,263,8681,181,2811,31,533
2020-05-19,262,8943,182,2993,21,554
2020-05-20,271,9214,107,3100,26,580
2020-05-21,233,9447,200,3300,17,597
2020-05-22,275,9722,328,3628,26,623
2020-05-23,277,9999,206,3834,24,647
2020-05-24,279,10278,187,4021,28,675
2020-05-25,310,10588,136,4157,25,700
2020-05-26,251,10839,436,4593,23,723
2020-05-27,256,11095,327,4920,19,742
2020-05-28,247,11342,381,5301,16,758
2020-05-29,253,11595,468,5769,18,776
2020-05-30,284,11879,518,6287,24,800
2020-05-31,299,12178,601,6888,20,820
2020-06-01,314,12492,790,7678,22,842
2020-06-02,279,12771,1019,8697,24,866
2020-06-03,290,13061,205,8902,22,888
2020-06-04,291,13352,296,9198,28,916
2020-06-05,324,13676,251,9449,30,946
2020-06-06,289,13965,210,9659,26,972
2020-06-07,318,14283,223,9882,21,993
2020-06-08,346,14629,218,10100,24,1017
2020-06-09,331,14960,248,10348,27,1044
2020-06-10,343,15303,266,10614,26,1070
2020-06-11,330,15633,231,10845,25,1095
2020-06-12,327,15960,243,11088,22,1117
2020-06-13,344,16304,255,11343,26,1143
2020-06-14,334,16638,224,11567,22,1165
2020-06-15,327,16965,225,11792,23,1188
2020-06-16,332,17297,235,12027,21,1209
2020-06-17,330,17627,223,12250,22,1231
2020-06-18,317,17944,281,12531,22,1253
2020-06-19,312,18256,206,12737,21,1274
2020-06-20,306,18562,418,13155,16,1290
2020-06-21,273,18835,427,13582,20,1310
2020-06-22,314,19149,401,13983,16,1326
2020-06-23,235,19384,421,14404,15,1341
2020-06-24,215,19599,401,14805,15,1356
2020-06-25,238,19837,216,15021,12,1368
2020-06-26,219,20056,210,15231,8,1376
2020-06-27,211,20267,218,15449,12,1388
2020-06-28,211,20478,181,15630,13,1401
2020-06-29,236,20714,171,15801,9,1410
2020-06-30,197,20911,137,15938,9,1419
2020-07-01,215,21126,125,16063,8,1427
2020-07-02,211,21337,161,16224,7,1434
2020-07-03,204,21541,131,16355,10,1444
2020-07-04,172,21713,228,16583,9,1453
2020-07-05,177,21890,216,16799,9,1462
2020-07-06,183,22073,240,17039,7,1469
2020-07-07,187,22260,124,17163,5,1474
2020-07-08,156,22416,170,17333,5,1479
2020-07-09,162,22578,139,17472,5,1484
2020-07-10,165,22743,161,17633,5,1489
