dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-12,2,2,0,0,0,0
2020-04-23,0,2,1,1,0,0
2020-04-24,0,2,1,2,0,0
2020-05-12,1,3,0,2,0,0
2020-05-17,0,3,0,2,0,0
2020-05-20,4,7,1,3,0,0
2020-05-21,2,9,0,3,0,0
2020-05-22,5,14,0,3,0,0
2020-05-23,1,15,0,3,0,0
2020-05-25,3,18,0,3,0,0
2020-05-26,3,21,0,3,0,0
2020-05-28,5,26,4,7,0,0
2020-05-29,1,27,6,13,0,0
2020-05-31,4,31,0,13,0,0
2020-06-01,4,35,0,13,0,0
2020-06-02,1,36,4,17,0,0
2020-06-03,1,37,1,18,0,0
2020-06-05,12,49,5,23,0,0
2020-06-06,2,51,2,25,0,0
2020-06-07,1,52,5,30,0,0
2020-06-09,3,55,1,31,0,0
2020-06-10,5,60,3,34,0,0
2020-06-12,3,63,3,37,0,0
2020-06-13,3,66,9,46,0,0
2020-06-14,10,76,4,50,0,0
2020-06-15,4,80,1,51,0,0
2020-06-16,3,83,1,52,0,0
2020-06-17,5,88,2,54,0,0
2020-06-18,8,96,0,54,0,0
2020-06-19,3,99,7,61,0,0
2020-06-20,3,102,1,62,0,0
2020-06-21,2,104,0,62,0,0
2020-06-22,3,107,3,65,0,0
2020-06-23,4,111,1,66,0,0
2020-06-24,1,112,0,66,0,0
2020-06-26,1,113,12,78,0,0
2020-06-28,2,115,18,96,0,0
2020-06-29,2,117,4,100,0,0
2020-06-30,8,125,0,100,0,0
2020-07-01,4,129,3,103,0,0
2020-07-02,4,133,1,104,0,0
2020-07-03,4,137,3,107,0,0
2020-07-05,19,156,7,114,0,0
2020-07-07,21,177,3,117,1,1
2020-07-08,3,180,0,117,0,1
2020-07-09,0,180,9,126,0,1
2020-07-10,1,181,0,126,0,1
