dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-13,0,0,3,3,0,0
2020-03-15,0,0,1,4,0,0
2020-03-24,1,1,0,4,0,0
2020-03-28,2,3,0,4,0,0
2020-03-29,0,3,0,4,1,1
2020-03-31,2,5,0,4,1,2
2020-04-01,2,7,1,5,0,2
2020-04-02,1,8,1,6,0,2
2020-04-04,0,8,1,7,0,2
2020-04-05,0,8,1,8,0,2
2020-04-07,0,8,1,9,0,2
2020-04-09,1,9,0,9,0,2
2020-04-21,0,9,1,10,0,2
2020-04-23,1,10,0,10,0,2
2020-04-26,0,10,1,11,0,2
2020-04-27,0,10,1,12,0,2
2020-04-29,2,12,0,12,0,2
2020-05-04,0,12,2,14,0,2
2020-05-18,3,15,0,14,0,2
2020-05-20,2,17,0,14,0,2
2020-05-21,2,19,0,14,0,2
2020-05-24,13,32,0,14,0,2
2020-05-25,5,37,0,14,0,2
2020-05-28,8,45,0,14,1,3
2020-05-29,5,50,0,14,0,3
2020-05-30,2,52,1,15,0,3
2020-05-31,4,56,1,16,0,3
2020-06-01,3,59,3,19,0,3
2020-06-02,7,66,2,21,1,4
2020-06-03,14,80,5,26,0,4
2020-06-04,5,85,1,27,0,4
2020-06-05,5,90,1,28,0,4
2020-06-06,3,93,0,28,0,4
2020-06-07,4,97,1,29,0,4
2020-06-08,3,100,0,29,0,4
2020-06-09,10,110,11,40,0,4
2020-06-10,6,116,3,43,0,4
2020-06-11,0,116,13,56,0,4
2020-06-12,1,117,2,58,0,4
2020-06-13,0,117,4,62,0,4
2020-06-14,4,121,4,66,0,4
2020-06-15,1,122,3,69,1,5
2020-06-16,4,126,14,83,0,5
2020-06-17,3,129,10,93,0,5
2020-06-18,5,134,8,101,0,5
2020-06-19,8,142,4,105,0,5
2020-06-20,5,147,2,107,0,5
2020-06-21,9,156,0,107,0,5
2020-06-22,11,167,0,107,0,5
2020-06-23,4,171,1,108,0,5
2020-06-24,4,175,0,108,0,5
2020-06-25,2,177,0,108,0,5
2020-06-26,7,184,0,108,0,5
2020-06-27,4,188,3,111,0,5
2020-06-28,9,197,1,112,0,5
2020-06-29,4,201,3,115,0,5
2020-06-30,5,206,6,121,1,6
2020-07-01,4,210,3,124,0,6
2020-07-02,9,219,15,139,0,6
2020-07-03,17,236,5,144,0,6
2020-07-04,16,252,10,154,0,6
2020-07-05,27,279,11,165,0,6
2020-07-06,7,286,7,172,0,6
2020-07-07,54,340,3,175,0,6
2020-07-08,64,404,5,180,0,6
2020-07-09,95,499,9,189,0,6
2020-07-10,129,628,5,194,0,6
