dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-11,1,1,0,0,0,0
2020-04-14,1,2,0,0,0,0
2020-04-16,5,7,0,0,0,0
2020-04-17,1,8,0,0,0,0
2020-04-26,1,9,0,0,0,0
2020-04-27,0,9,0,0,1,1
2020-05-01,15,24,1,1,0,1
2020-05-02,11,35,0,1,1,2
2020-05-03,1,36,4,5,0,2
2020-05-06,4,40,1,6,1,3
2020-05-07,12,52,0,6,0,3
2020-05-08,-1,51,0,6,0,3
2020-05-11,0,51,1,7,0,3
2020-05-12,3,54,0,7,0,3
2020-05-13,2,56,0,7,0,3
2020-05-14,1,57,0,7,0,3
2020-05-15,0,57,5,12,0,3
2020-05-16,3,60,8,20,1,4
2020-05-17,0,60,7,27,0,4
2020-05-19,0,60,3,30,0,4
2020-05-20,19,79,0,30,1,5
2020-05-21,3,82,8,38,0,5
2020-05-22,1,83,2,40,0,5
2020-05-23,2,85,10,50,0,5
2020-05-24,2,87,1,51,0,5
2020-05-25,1,88,1,52,2,7
2020-05-26,2,90,2,54,0,7
2020-05-27,0,90,9,63,0,7
2020-05-28,0,90,4,67,0,7
2020-05-29,0,90,2,69,0,7
2020-05-30,2,92,0,69,0,7
2020-05-31,0,92,4,73,0,7
2020-06-01,0,92,3,76,0,7
2020-06-03,1,93,1,77,0,7
2020-06-04,0,93,4,81,0,7
2020-06-06,1,94,0,81,0,7
2020-06-07,0,94,1,82,1,8
2020-06-08,1,95,1,83,0,8
2020-06-14,0,95,1,84,0,8
2020-06-15,1,96,0,84,0,8
2020-06-16,0,96,1,85,0,8
2020-06-17,1,97,0,85,0,8
2020-06-18,1,98,0,85,0,8
2020-06-19,3,101,0,85,0,8
2020-06-22,0,101,1,86,0,8
2020-06-24,0,101,2,88,0,8
2020-06-25,4,105,1,89,0,8
2020-06-26,1,106,1,90,0,8
2020-06-27,3,109,2,92,0,8
2020-06-28,1,110,0,92,0,8
2020-06-29,3,113,0,92,0,8
2020-06-30,2,115,0,92,0,8
2020-07-01,2,117,0,92,0,8
2020-07-02,6,123,0,92,0,8
2020-07-03,6,129,0,92,0,8
2020-07-04,0,129,4,96,0,8
2020-07-05,2,131,0,96,0,8
2020-07-06,10,141,1,97,0,8
2020-07-07,2,143,3,100,0,8
2020-07-08,2,145,3,103,0,8
2020-07-09,14,159,3,106,0,8
2020-07-10,5,164,8,114,0,8
