dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,1,1,0,0,0,0
2020-04-16,1,2,0,0,0,0
2020-04-19,1,3,0,0,0,0
2020-04-22,1,4,0,0,0,0
2020-04-30,0,4,1,1,0,0
2020-05-01,1,5,0,1,0,0
2020-05-02,5,10,0,1,0,0
2020-05-08,4,14,0,1,0,0
2020-05-11,2,16,0,1,0,0
2020-05-12,2,18,0,1,0,0
2020-05-14,4,22,0,1,0,0
2020-05-15,1,23,4,5,0,0
2020-05-16,0,23,2,7,0,0
2020-05-17,7,30,0,7,0,0
2020-05-18,8,38,0,7,0,0
2020-05-19,2,40,1,8,0,0
2020-05-21,5,45,0,8,0,0
2020-05-22,3,48,3,11,0,0
2020-05-23,8,56,2,13,0,0
2020-05-24,2,58,0,13,0,0
2020-05-25,7,65,2,15,0,0
2020-05-26,10,75,1,16,0,0
2020-05-27,6,81,7,23,0,0
2020-05-28,8,89,1,24,0,0
2020-05-29,30,119,8,32,0,0
2020-05-30,2,121,13,45,0,0
2020-05-31,6,127,9,54,0,0
2020-06-01,4,131,3,57,1,1
2020-06-02,1,132,1,58,0,1
2020-06-03,24,156,1,59,1,2
2020-06-04,5,161,13,72,1,3
2020-06-05,11,172,6,78,0,3
2020-06-06,7,179,7,85,0,3
2020-06-07,11,190,35,120,1,4
2020-06-08,20,210,10,130,1,5
2020-06-09,1,211,1,131,0,5
2020-06-10,16,227,17,148,0,5
2020-06-11,0,227,0,148,1,6
2020-06-12,25,252,0,148,0,6
2020-06-13,8,260,8,156,0,6
2020-06-14,14,274,3,159,0,6
2020-06-15,8,282,12,171,2,8
2020-06-16,15,297,10,181,4,12
2020-06-17,19,316,13,194,0,12
2020-06-18,5,321,7,201,0,12
2020-06-19,8,329,25,226,0,12
2020-06-20,33,362,4,230,-1,11
2020-06-21,5,367,1,231,0,11
2020-06-22,7,374,19,250,0,11
2020-06-23,23,397,9,259,0,11
2020-06-24,0,397,5,264,1,12
2020-06-25,16,413,18,282,0,12
2020-06-26,7,420,10,292,0,12
2020-06-27,52,472,21,313,1,13
2020-06-28,18,490,0,313,1,14
2020-06-29,47,537,20,333,0,14
2020-06-30,17,554,1,334,0,14
2020-07-01,31,585,10,344,3,17
2020-07-02,30,615,11,355,2,19
2020-07-03,6,621,8,363,5,24
2020-07-04,64,685,17,380,0,24
2020-07-05,36,721,0,380,0,24
2020-07-06,39,760,17,397,5,29
2020-07-07,74,834,27,424,2,31
2020-07-08,13,847,32,456,3,34
2020-07-09,7,854,18,474,1,35
2020-07-10,28,882,1,475,1,36
