dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-01,2,2,0,0,0,0
2020-05-17,2,4,0,0,0,0
2020-05-18,2,6,2,2,0,0
2020-05-23,3,9,0,2,0,0
2020-05-24,7,16,0,2,0,0
2020-05-25,8,24,0,2,0,0
2020-05-26,14,38,0,2,0,0
2020-05-27,16,54,2,4,0,0
2020-05-28,2,56,2,6,0,0
2020-05-29,6,62,0,6,0,0
2020-05-30,7,69,0,6,0,0
2020-05-31,11,80,0,6,0,0
2020-06-01,2,82,2,8,0,0
2020-06-02,7,89,1,9,0,0
2020-06-03,13,102,9,18,0,0
2020-06-04,0,102,6,24,0,0
2020-06-05,3,105,14,38,0,0
2020-06-06,11,116,16,54,0,0
2020-06-07,5,121,2,56,0,0
2020-06-08,1,122,6,62,0,0
2020-06-09,1,123,7,69,0,0
2020-06-10,1,124,11,80,0,0
2020-06-11,0,124,7,87,0,0
2020-06-12,5,129,12,99,0,0
2020-06-13,12,141,8,107,0,0
2020-06-14,2,143,3,110,0,0
2020-06-15,0,143,11,121,0,0
2020-06-16,1,144,5,126,0,0
2020-06-17,3,147,1,127,0,0
2020-06-18,1,148,0,127,0,0
2020-06-19,2,150,2,129,0,0
2020-06-21,1,151,0,129,0,0
2020-06-22,1,152,12,141,0,0
2020-06-23,1,153,2,143,0,0
2020-06-24,1,154,0,143,0,0
2020-06-25,11,165,0,143,0,0
2020-06-26,0,165,1,144,0,0
2020-06-27,0,165,3,147,0,0
2020-06-28,2,167,1,148,0,0
2020-06-29,0,167,2,150,0,0
2020-06-30,16,183,0,150,0,0
2020-07-01,4,187,0,150,0,0
2020-07-02,7,194,3,153,0,0
2020-07-03,19,213,0,153,0,0
2020-07-04,0,213,12,165,0,0
2020-07-05,3,216,0,165,0,0
2020-07-06,6,222,0,165,0,0
2020-07-07,5,227,1,166,0,0
2020-07-08,21,248,1,167,0,0
2020-07-10,12,260,45,212,0,0
