dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-18,1,1,0,0,0,0
2020-04-20,2,3,0,0,0,0
2020-04-21,5,8,0,0,0,0
2020-04-23,2,10,0,0,0,0
2020-04-27,6,16,0,0,0,0
2020-04-29,3,19,0,0,0,0
2020-04-30,1,20,0,0,0,0
2020-05-01,0,20,3,3,0,0
2020-05-03,1,21,1,4,0,0
2020-05-05,3,24,0,4,0,0
2020-05-06,1,25,1,5,0,0
2020-05-07,2,27,0,5,0,0
2020-05-09,15,42,4,9,0,0
2020-05-11,15,57,2,11,0,0
2020-05-13,33,90,9,20,0,0
2020-05-14,12,102,0,20,0,0
2020-05-15,0,102,1,21,0,0
2020-05-16,0,102,1,22,0,0
2020-05-17,17,119,2,24,0,0
2020-05-18,0,119,1,25,0,0
2020-05-19,2,121,2,27,0,0
2020-05-20,1,122,0,27,0,0
2020-05-21,0,122,15,42,0,0
2020-05-22,5,127,0,42,0,0
2020-05-23,1,128,15,57,0,0
2020-05-25,5,133,34,91,0,0
2020-05-26,4,137,11,102,0,0
2020-05-27,2,139,17,119,0,0
2020-05-29,3,142,1,120,1,1
2020-05-30,4,146,1,121,0,1
2020-05-31,6,152,3,124,0,1
2020-06-01,0,152,3,127,0,1
2020-06-02,2,154,0,127,0,1
2020-06-03,24,178,5,132,0,1
2020-06-04,1,179,2,134,0,1
2020-06-05,0,179,3,137,0,1
2020-06-06,11,190,3,140,0,1
2020-06-07,0,190,4,144,0,1
2020-06-08,0,190,6,150,0,1
2020-06-09,7,197,2,152,0,1
2020-06-10,0,197,7,159,0,1
2020-06-11,0,197,4,163,0,1
2020-06-12,5,202,14,177,0,1
2020-06-13,2,204,12,189,0,1
2020-06-14,0,204,1,190,0,1
2020-06-15,8,212,0,190,0,1
2020-06-16,4,216,4,194,0,1
2020-06-17,6,222,2,196,0,1
2020-06-18,34,256,0,196,0,1
2020-06-19,21,277,5,201,0,1
2020-06-21,17,294,2,203,0,1
2020-06-22,13,307,5,208,0,1
2020-06-23,13,320,0,208,0,1
2020-06-24,3,323,7,215,0,1
2020-06-25,2,325,7,222,0,1
2020-06-26,7,332,2,224,0,1
2020-06-27,0,332,31,255,0,1
2020-06-28,12,344,13,268,0,1
2020-06-29,2,346,8,276,0,1
2020-06-30,5,351,2,278,0,1
2020-07-01,2,353,26,304,0,1
2020-07-02,24,377,2,306,0,1
2020-07-03,0,377,3,309,0,1
2020-07-04,13,390,0,309,0,1
2020-07-05,8,398,15,324,1,2
2020-07-06,14,412,3,327,0,2
2020-07-07,28,440,16,343,0,2
2020-07-08,26,466,3,346,0,2
2020-07-09,30,496,12,358,0,2
2020-07-10,9,505,17,375,0,2
