dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-02,2,2,0,0,0,0
2020-05-05,2,4,0,0,0,0
2020-05-06,17,21,0,0,0,0
2020-05-07,7,28,0,0,0,0
2020-05-08,43,71,0,0,0,0
2020-05-09,47,118,0,0,1,1
2020-05-10,7,125,0,0,0,1
2020-05-11,15,140,0,0,0,1
2020-05-12,18,158,0,0,0,1
2020-05-13,52,210,2,2,0,1
2020-05-14,54,264,0,2,0,1
2020-05-15,13,277,0,2,0,1
2020-05-16,0,277,28,30,0,1
2020-05-17,15,292,19,49,1,2
2020-05-18,15,307,40,89,0,2
2020-05-19,0,307,20,109,0,2
2020-05-20,6,313,23,132,0,2
2020-05-21,4,317,22,154,1,3
2020-05-22,5,322,8,162,0,3
2020-05-23,19,341,41,203,0,3
2020-05-24,7,348,30,233,0,3
2020-05-25,5,353,15,248,0,3
2020-05-26,5,358,24,272,0,3
2020-05-27,10,368,11,283,0,3
2020-05-28,26,394,19,302,0,3
2020-05-29,4,398,15,317,0,3
2020-05-30,6,404,1,318,0,3
2020-05-31,10,414,16,334,0,3
2020-06-01,17,431,2,336,0,3
2020-06-02,27,458,2,338,0,3
2020-06-03,41,499,2,340,0,3
2020-06-04,22,521,14,354,0,3
2020-06-05,12,533,35,389,0,3
2020-06-06,64,597,7,396,0,3
2020-06-07,1,598,14,410,1,4
2020-06-08,33,631,9,419,0,4
2020-06-09,18,649,22,441,0,4
2020-06-10,0,649,57,498,0,4
2020-06-11,3,652,17,515,0,4
2020-06-12,6,658,30,545,1,5
2020-06-13,20,678,33,578,0,5
2020-06-14,4,682,17,595,1,6
2020-06-15,8,690,18,613,0,6
2020-06-16,8,698,3,616,0,6
2020-06-17,1,699,4,620,0,6
2020-06-18,56,755,16,636,0,6
2020-06-19,41,796,5,641,0,6
2020-06-20,57,853,17,658,0,6
2020-06-21,40,893,12,670,1,7
2020-06-22,32,925,0,670,1,8
2020-06-23,30,955,10,680,0,8
2020-06-24,75,1030,49,729,0,8
2020-06-25,58,1088,39,768,0,8
2020-06-26,49,1137,43,811,0,8
2020-06-27,58,1195,48,859,1,9
2020-06-28,76,1271,33,892,1,10
2020-06-29,96,1367,60,952,2,12
2020-06-30,3,1370,41,993,2,14
2020-07-01,102,1472,48,1041,1,15
2020-07-02,95,1567,49,1090,1,16
2020-07-03,283,1850,38,1128,2,18
2020-07-04,216,2066,91,1219,3,21
2020-07-05,116,2182,99,1318,0,21
2020-07-06,166,2348,73,1391,1,22
2020-07-07,273,2621,96,1487,3,25
2020-07-08,215,2836,120,1607,3,28
2020-07-09,260,3096,100,1707,3,31
2020-07-10,320,3416,185,1892,4,35
