dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-29,1,1,0,0,0,0
2020-05-02,1,2,0,0,0,0
2020-05-11,0,2,2,2,0,0
2020-05-23,3,5,0,2,0,0
2020-05-26,1,6,0,2,0,0
2020-05-29,1,7,0,2,0,0
2020-06-02,0,7,3,5,0,0
2020-06-04,0,7,1,6,0,0
2020-06-06,1,8,0,6,0,0
2020-06-07,0,8,1,7,0,0
2020-06-10,1,9,0,7,0,0
2020-06-11,4,13,1,8,0,0
2020-06-12,2,15,1,9,0,0
2020-06-14,2,17,0,9,0,0
2020-06-15,1,18,0,9,0,0
2020-06-16,0,18,4,13,0,0
2020-06-17,1,19,2,15,0,0
2020-06-19,2,21,2,17,0,0
2020-06-20,0,21,1,18,0,0
2020-06-21,25,46,0,18,0,0
2020-06-22,4,50,0,18,0,0
2020-06-23,3,53,0,18,0,0
2020-06-24,23,76,1,19,0,0
2020-06-25,0,76,1,20,0,0
2020-06-26,4,80,1,21,0,0
2020-06-27,0,80,6,27,0,0
2020-06-28,18,98,2,29,0,0
2020-06-29,2,100,0,29,0,0
2020-06-30,3,103,15,44,0,0
2020-07-01,5,108,0,44,0,0
2020-07-02,10,118,4,48,0,0
2020-07-03,2,120,1,49,0,0
2020-07-04,8,128,15,64,0,0
2020-07-05,0,128,33,97,0,0
2020-07-06,0,128,1,98,0,0
2020-07-07,1,129,8,106,0,0
2020-07-08,4,133,5,111,0,0
2020-07-09,1,134,7,118,0,0
2020-07-10,0,134,8,126,0,0
