dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-08,2,2,0,0,0,0
2020-05-10,1,3,0,0,0,0
2020-05-11,1,4,0,0,0,0
2020-05-12,1,5,0,0,0,0
2020-05-13,1,6,0,0,0,0
2020-05-16,1,7,0,0,0,0
2020-05-17,2,9,1,1,0,0
2020-05-19,14,23,0,1,0,0
2020-05-20,1,24,3,4,0,0
2020-05-21,5,29,2,6,0,0
2020-05-22,4,33,0,6,0,0
2020-05-23,0,33,2,8,0,0
2020-05-24,5,38,0,8,0,0
2020-05-25,1,39,0,8,0,0
2020-05-26,2,41,0,8,0,0
2020-05-27,3,44,1,9,0,0
2020-05-28,2,46,5,14,0,0
2020-05-29,2,48,4,18,0,0
2020-05-30,0,48,1,19,0,0
2020-05-31,3,51,0,19,0,0
2020-06-01,3,54,1,20,0,0
2020-06-02,0,54,9,29,0,0
2020-06-03,1,55,0,29,0,0
2020-06-05,0,55,6,35,0,0
2020-06-06,6,61,0,35,0,0
2020-06-07,8,69,3,38,0,0
2020-06-08,0,69,1,39,0,0
2020-06-11,17,86,3,42,0,0
2020-06-12,4,90,0,42,0,0
2020-06-13,6,96,6,48,0,0
2020-06-14,1,97,3,51,0,0
2020-06-15,2,99,1,52,0,0
2020-06-16,3,102,5,57,0,0
2020-06-17,2,104,0,57,0,0
2020-06-19,6,110,8,65,0,0
2020-06-20,3,113,1,66,0,0
2020-06-22,0,113,25,91,0,0
2020-06-23,0,113,5,96,0,0
2020-06-24,0,113,1,97,0,0
2020-06-25,5,118,1,98,0,0
2020-06-26,5,123,0,98,0,0
2020-06-27,6,129,0,98,0,0
2020-06-28,3,132,3,101,0,0
2020-06-29,1,133,3,104,0,0
2020-06-30,1,134,6,110,0,0
2020-07-01,0,134,3,113,0,0
2020-07-02,14,148,0,113,0,0
2020-07-03,4,152,0,113,1,1
2020-07-04,2,154,0,113,0,1
2020-07-05,4,158,6,119,0,1
2020-07-06,2,160,10,129,0,1
2020-07-08,27,187,2,131,0,1
2020-07-09,8,195,1,132,1,2
2020-07-10,4,199,2,134,0,2
