dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-04-06,1,1,0,0,0,0
2020-04-25,3,4,0,0,0,0
2020-05-01,1,5,0,0,0,0
2020-05-02,4,9,0,0,0,0
2020-05-03,1,10,0,0,0,0
2020-05-06,5,15,0,0,1,1
2020-05-08,3,18,0,0,0,1
2020-05-10,0,18,3,3,0,1
2020-05-11,1,19,0,3,0,1
2020-05-13,2,21,0,3,0,1
2020-05-14,5,26,0,3,0,1
2020-05-15,7,33,4,7,0,1
2020-05-16,3,36,1,8,0,1
2020-05-17,6,42,1,9,0,1
2020-05-18,0,42,3,12,0,1
2020-05-19,4,46,0,12,0,1
2020-05-20,12,58,2,14,2,3
2020-05-21,0,58,1,15,0,3
2020-05-22,7,65,1,16,0,3
2020-05-23,2,67,3,19,0,3
2020-05-24,2,69,4,23,0,3
2020-05-25,2,71,7,30,0,3
2020-05-26,7,78,2,32,0,3
2020-05-27,6,84,8,40,0,3
2020-05-28,3,87,3,43,0,3
2020-05-29,0,87,14,57,0,3
2020-05-30,4,91,1,58,0,3
2020-05-31,1,92,1,59,0,3
2020-06-01,3,95,4,63,0,3
2020-06-02,11,106,3,66,0,3
2020-06-03,3,109,0,66,0,3
2020-06-04,0,109,2,68,0,3
2020-06-05,8,117,4,72,0,3
2020-06-06,5,122,4,76,0,3
2020-06-07,5,127,2,78,0,3
2020-06-08,2,129,1,79,1,4
2020-06-09,3,132,2,81,0,4
2020-06-10,1,133,2,83,0,4
2020-06-11,3,136,13,96,0,4
2020-06-12,4,140,0,96,2,6
2020-06-13,5,145,1,97,0,6
2020-06-14,2,147,11,108,0,6
2020-06-15,2,149,5,113,0,6
2020-06-16,9,158,3,116,0,6
2020-06-17,3,161,1,117,0,6
2020-06-18,6,167,8,125,1,7
2020-06-19,7,174,6,131,0,7
2020-06-20,9,183,0,131,1,8
2020-06-21,1,184,7,138,0,8
2020-06-22,11,195,0,138,0,8
2020-06-23,16,211,5,143,0,8
2020-06-24,4,215,6,149,0,8
2020-06-25,11,226,8,157,1,9
2020-06-26,22,248,0,157,0,9
2020-06-27,11,259,13,170,0,9
2020-06-28,5,264,6,176,0,9
2020-06-29,1,265,13,189,0,9
2020-06-30,20,285,7,196,0,9
2020-07-01,12,297,7,203,1,10
2020-07-02,6,303,5,208,0,10
2020-07-03,23,326,14,222,1,11
2020-07-04,25,351,11,233,0,11
2020-07-05,55,406,9,242,0,11
2020-07-06,9,415,3,245,1,12
2020-07-07,28,443,12,257,1,13
2020-07-08,6,449,7,264,0,13
2020-07-09,9,458,9,273,1,14
2020-07-10,45,503,15,288,1,15
