dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-19,1,1,0,0,0,0
2020-05-24,8,9,0,0,0,0
2020-05-25,2,11,0,0,0,0
2020-05-31,2,13,0,0,0,0
2020-06-02,6,19,0,0,0,0
2020-06-03,6,25,0,0,0,0
2020-06-05,2,27,11,11,0,0
2020-06-06,6,33,0,11,0,0
2020-06-08,1,34,5,16,0,0
2020-06-09,0,34,7,23,0,0
2020-06-10,0,34,4,27,0,0
2020-06-11,3,37,1,28,0,0
2020-06-12,3,40,0,28,0,0
2020-06-13,3,43,0,28,0,0
2020-06-14,1,44,1,29,0,0
2020-06-15,0,44,5,34,0,0
2020-06-17,0,44,3,37,0,0
2020-06-18,3,47,0,37,0,0
2020-06-19,0,47,3,40,0,0
2020-06-20,7,54,0,40,0,0
2020-06-21,9,63,0,40,0,0
2020-06-22,0,63,2,42,0,0
2020-06-23,4,67,0,42,0,0
2020-06-24,0,67,2,44,0,0
2020-06-26,2,69,3,47,0,0
2020-06-27,2,71,5,52,0,0
2020-06-28,2,73,5,57,0,0
2020-06-29,0,73,2,59,0,0
2020-06-30,1,74,3,62,0,0
2020-07-03,2,76,3,65,0,0
2020-07-05,0,76,1,66,0,0
2020-07-06,0,76,5,71,0,0
2020-07-07,0,76,1,72,0,0
2020-07-08,0,76,1,73,0,0
