dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-29,1,1,0,0,0,0
2020-05-03,28,29,3,3,4,4
2020-05-04,1,30,2,5,0,4
2020-05-05,2,32,4,9,0,4
2020-05-06,6,38,0,9,0,4
2020-05-08,5,43,3,12,0,4
2020-05-09,17,60,4,16,0,4
2020-05-10,49,109,2,18,0,4
2020-05-11,5,114,3,21,0,4
2020-05-12,2,116,3,24,0,4
2020-05-13,7,123,1,25,0,4
2020-05-14,1,124,5,30,0,4
2020-05-15,1,125,2,32,0,4
2020-05-16,10,135,4,36,0,4
2020-05-17,1,136,10,46,0,4
2020-05-18,3,139,0,46,0,4
2020-05-19,3,142,23,69,1,5
2020-05-20,1,143,40,109,1,6
2020-05-21,3,146,0,109,0,6
2020-05-22,13,159,0,109,0,6
2020-05-23,21,180,8,117,0,6
2020-05-24,20,200,0,117,1,7
2020-05-25,5,205,0,117,0,7
2020-05-26,19,224,3,120,0,7
2020-05-27,4,228,1,121,0,7
2020-05-28,5,233,0,121,2,9
2020-05-29,2,235,3,124,2,11
2020-05-30,10,245,6,130,0,11
2020-05-31,43,288,20,150,0,11
2020-06-01,7,295,11,161,0,11
2020-06-02,38,333,1,162,0,11
2020-06-03,38,371,0,162,0,11
2020-06-04,47,418,3,165,0,11
2020-06-05,44,462,5,170,1,12
2020-06-06,82,544,3,173,0,12
2020-06-07,37,581,3,176,0,12
2020-06-08,10,591,8,184,0,12
2020-06-09,17,608,7,191,0,12
2020-06-10,30,638,10,201,0,12
2020-06-11,17,655,0,201,0,12
2020-06-12,16,671,9,210,2,14
2020-06-13,4,675,123,333,0,14
2020-06-14,6,681,2,335,0,14
2020-06-15,3,684,99,434,0,14
2020-06-16,15,699,10,444,0,14
2020-06-17,21,720,0,444,1,15
2020-06-18,11,731,2,446,1,16
2020-06-19,11,742,30,476,0,16
2020-06-20,15,757,20,496,1,17
2020-06-21,17,774,4,500,1,18
2020-06-22,15,789,47,547,1,19
2020-06-23,5,794,75,622,0,19
2020-06-24,21,815,21,643,0,19
2020-06-25,26,841,7,650,0,19
2020-06-26,30,871,16,666,1,20
2020-06-27,29,900,4,670,1,21
2020-06-28,30,930,16,686,0,21
2020-06-29,38,968,8,694,1,22
2020-06-30,36,1004,9,703,1,23
2020-07-01,16,1020,16,719,0,23
2020-07-02,25,1045,19,738,2,25
2020-07-03,62,1107,17,755,1,26
2020-07-04,24,1131,40,795,0,26
2020-07-05,62,1193,34,829,0,26
2020-07-06,32,1225,32,861,0,26
2020-07-07,22,1247,33,894,1,27
2020-07-08,36,1283,28,922,1,28
2020-07-09,53,1336,37,959,0,28
2020-07-10,71,1407,15,974,1,29
