dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-03,0,0,4,4,0,0
2020-05-05,-1,-1,0,4,0,0
2020-05-26,3,2,0,4,0,0
2020-05-28,1,3,0,4,0,0
2020-05-29,2,5,0,4,0,0
2020-05-30,3,8,0,4,0,0
2020-06-01,2,10,0,4,0,0
2020-06-03,3,13,0,4,0,0
2020-06-05,0,13,1,5,0,0
2020-06-06,11,24,0,5,0,0
2020-06-07,25,49,4,9,0,0
2020-06-08,41,90,3,12,0,0
2020-06-09,5,95,0,12,0,0
2020-06-10,1,96,2,14,0,0
2020-06-11,34,130,9,23,0,0
2020-06-12,30,160,21,44,0,0
2020-06-13,25,185,16,60,0,0
2020-06-14,27,212,0,60,0,0
2020-06-15,17,229,17,77,0,0
2020-06-16,5,234,15,92,0,0
2020-06-17,16,250,22,114,0,0
2020-06-18,13,263,1,115,0,0
2020-06-19,4,267,22,137,0,0
2020-06-20,13,280,2,139,0,0
2020-06-21,15,295,13,152,0,0
2020-06-22,0,295,20,172,0,0
2020-06-23,16,311,10,182,0,0
2020-06-24,2,313,18,200,0,0
2020-06-25,0,313,34,234,0,0
2020-06-26,8,321,9,243,0,0
2020-06-27,3,324,1,244,0,0
2020-06-28,6,330,14,258,0,0
2020-06-29,13,343,10,268,0,0
2020-06-30,5,348,12,280,0,0
2020-07-01,1,349,10,290,1,1
2020-07-02,10,359,4,294,0,1
2020-07-03,22,381,16,310,0,1
2020-07-04,2,383,3,313,0,1
2020-07-05,8,391,8,321,1,2
2020-07-06,6,397,3,324,0,2
2020-07-07,12,409,5,329,0,2
2020-07-08,10,419,16,345,1,3
2020-07-09,34,453,1,346,0,3
2020-07-10,4,457,9,355,0,3
