dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-05-03,2,2,0,0,0,0
2020-05-07,1,3,0,0,0,0
2020-05-09,4,7,0,0,0,0
2020-05-10,3,10,0,0,0,0
2020-05-11,3,13,0,0,0,0
2020-05-12,6,19,0,0,0,0
2020-05-16,6,25,0,0,0,0
2020-05-18,9,34,0,0,0,0
2020-05-19,11,45,10,10,0,0
2020-05-20,1,46,0,10,0,0
2020-05-22,2,48,2,12,0,0
2020-05-23,2,50,0,12,0,0
2020-05-24,31,81,0,12,0,0
2020-05-25,34,115,0,12,0,0
2020-05-26,0,115,3,15,0,0
2020-05-27,0,115,4,19,0,0
2020-05-28,10,125,19,38,0,0
2020-05-30,12,137,1,39,0,0
2020-05-31,2,139,1,40,0,0
2020-06-01,3,142,18,58,0,0
2020-06-02,1,143,15,73,0,0
2020-06-03,10,153,4,77,0,0
2020-06-04,5,158,7,84,0,0
2020-06-05,34,192,8,92,0,0
2020-06-06,13,205,5,97,0,0
2020-06-07,21,226,11,108,0,0
2020-06-08,5,231,3,111,0,0
2020-06-09,2,233,2,113,0,0
2020-06-10,2,235,8,121,0,0
2020-06-11,8,243,23,144,0,0
2020-06-12,10,253,29,173,0,0
2020-06-13,2,255,4,177,0,0
2020-06-14,10,265,15,192,0,0
2020-06-15,56,321,0,192,0,0
2020-06-16,10,331,0,192,0,0
2020-06-17,7,338,7,199,0,0
2020-06-18,17,355,3,202,0,0
2020-06-19,13,368,0,202,0,0
2020-06-20,17,385,14,216,0,0
2020-06-21,4,389,4,220,0,0
2020-06-22,46,435,62,282,0,0
2020-06-23,26,461,6,288,0,0
2020-06-24,8,469,3,291,0,0
2020-06-25,20,489,6,297,0,0
2020-06-26,24,513,33,330,0,0
2020-06-27,20,533,0,330,1,1
2020-06-28,51,584,7,337,0,1
2020-06-29,28,612,16,353,0,1
2020-06-30,34,646,16,369,0,1
2020-07-01,30,676,24,393,0,1
2020-07-02,30,706,44,437,0,1
2020-07-03,34,740,8,445,1,2
2020-07-04,40,780,21,466,1,3
2020-07-05,37,817,40,506,1,4
2020-07-06,42,859,18,524,0,4
2020-07-07,50,909,68,592,0,4
2020-07-08,45,954,69,661,2,6
2020-07-09,48,1002,0,661,0,6
2020-07-10,49,1051,0,661,1,7
