dateannounced,numcases_h,total_cases_h,numcases_r,total_cases_r,numcases_d,total_cases_d
2020-03-31,1,1,0,0,0,0
2020-05-03,18,19,4,4,1,1
2020-05-04,3,22,1,5,0,1
2020-05-05,5,27,5,10,0,1
2020-05-06,11,38,0,10,0,1
2020-05-07,2,40,0,10,0,1
2020-05-08,4,44,1,11,0,1
2020-05-09,2,46,0,11,0,1
2020-05-10,1,47,0,11,0,1
2020-05-11,5,52,4,15,0,1
2020-05-12,9,61,5,20,0,1
2020-05-13,2,63,3,23,1,2
2020-05-14,5,68,4,27,0,2
2020-05-15,4,72,3,30,0,2
2020-05-16,0,72,1,31,1,3
2020-05-17,4,76,0,31,0,3
2020-05-18,10,86,3,34,1,4
2020-05-19,5,91,1,35,1,5
2020-05-20,6,97,2,37,0,5
2020-05-21,4,101,9,46,0,5
2020-05-22,1,102,0,46,0,5
2020-05-23,7,109,1,47,0,5
2020-05-24,4,113,2,49,0,5
2020-05-25,4,117,0,49,0,5
2020-05-26,9,126,2,51,0,5
2020-05-27,19,145,5,56,0,5
2020-05-28,11,156,2,58,0,5
2020-05-29,13,169,10,68,1,6
2020-05-30,4,173,9,77,0,6
2020-05-31,6,179,3,80,0,6
2020-06-01,6,185,2,82,0,6
2020-06-02,6,191,2,84,0,6
2020-06-03,4,195,0,84,1,7
2020-06-04,15,210,8,92,0,7
2020-06-05,12,222,9,101,0,7
2020-06-06,18,240,5,106,1,8
2020-06-07,31,271,3,109,0,8
2020-06-08,13,284,5,114,0,8
2020-06-09,22,306,3,117,1,9
2020-06-10,14,320,1,118,0,9
2020-06-11,26,346,13,131,2,11
2020-06-12,26,372,3,134,1,12
2020-06-13,28,400,10,144,1,13
2020-06-14,19,419,2,146,1,14
2020-06-15,13,432,6,152,1,15
2020-06-16,31,463,22,174,1,16
2020-06-17,23,486,9,183,0,16
2020-06-18,29,515,11,194,1,17
2020-06-19,32,547,27,221,2,19
2020-06-20,56,603,23,244,2,21
2020-06-21,17,620,14,258,0,21
2020-06-22,52,672,35,293,0,21
2020-06-23,28,700,38,331,0,21
2020-06-24,68,768,30,361,1,22
2020-06-25,25,793,29,390,2,24
2020-06-26,52,845,12,402,1,25
2020-06-27,66,911,22,424,0,25
2020-06-28,33,944,22,446,0,25
2020-06-29,76,1020,24,470,1,26
2020-06-30,62,1082,46,516,0,26
2020-07-01,41,1123,21,537,1,27
2020-07-02,58,1181,51,588,1,28
2020-07-03,62,1243,74,662,2,30
2020-07-04,97,1340,57,719,0,30
2020-07-05,118,1458,61,780,1,31
2020-07-06,84,1542,66,846,1,32
2020-07-07,70,1612,65,911,3,35
2020-07-08,103,1715,32,943,1,36
2020-07-09,88,1803,56,999,2,38
2020-07-10,104,1907,35,1034,0,38
